county,date,deaths,name,population,population-per-100K,deaths-per-100K
Harris,2020-03-08,0,Harris,4713325.0,47.13325,0.0
Harrison,2020-03-08,0,Harrison,66553.0,0.66553,0.0
Hartley,2020-03-08,0,Hartley,5576.0,0.05576,0.0
Haskell,2020-03-08,0,Haskell,5658.0,0.05658,0.0
Hays,2020-03-08,0,Hays,230191.0,2.30191,0.0
Hemphill,2020-03-08,0,Hemphill,3819.0,0.03819,0.0
Henderson,2020-03-08,0,Henderson,82737.0,0.82737,0.0
Hidalgo,2020-03-08,0,Hidalgo,868707.0,8.68707,0.0
Hill,2020-03-08,0,Hill,36649.0,0.36649,0.0
Hockley,2020-03-08,0,Hockley,23021.0,0.23021,0.0
Hood,2020-03-08,0,Hood,61643.0,0.61643,0.0
Hopkins,2020-03-08,0,Hopkins,37084.0,0.37084,0.0
Houston,2020-03-08,0,Houston,22968.0,0.22968,0.0
Howard,2020-03-08,0,Howard,36664.0,0.36664,0.0
Hudspeth,2020-03-08,0,Hudspeth,4886.0,0.04886,0.0
Hunt,2020-03-08,0,Hunt,98594.0,0.98594,0.0
Hutchinson,2020-03-08,0,Hutchinson,20938.0,0.20938,0.0
Irion,2020-03-08,0,Irion,1536.0,0.01536,0.0
Jack,2020-03-08,0,Jack,8935.0,0.08935,0.0
Jackson,2020-03-08,0,Jackson,14760.0,0.1476,0.0
Jasper,2020-03-08,0,Jasper,35529.0,0.35529,0.0
Jeff davis,2020-03-08,0,,,,
Jefferson,2020-03-08,0,Jefferson,251565.0,2.51565,0.0
Jim hogg,2020-03-08,0,,,,
Jim wells,2020-03-08,0,,,,
Johnson,2020-03-08,0,Johnson,175817.0,1.75817,0.0
Jones,2020-03-08,0,Jones,20083.0,0.20083,0.0
Karnes,2020-03-08,0,Karnes,15601.0,0.15601,0.0
Kaufman,2020-03-08,0,Kaufman,136154.0,1.36154,0.0
Kendall,2020-03-08,0,Kendall,47431.0,0.47431,0.0
Kenedy,2020-03-08,0,Kenedy,404.0,0.00404,0.0
Kent,2020-03-08,0,Kent,762.0,0.00762,0.0
Kerr,2020-03-08,0,Kerr,52600.0,0.526,0.0
Kimble,2020-03-08,0,Kimble,4337.0,0.04337,0.0
King,2020-03-08,0,King,272.0,0.00272,0.0
Kinney,2020-03-08,0,Kinney,3667.0,0.03667,0.0
Kleberg,2020-03-08,0,Kleberg,30680.0,0.3068,0.0
Knox,2020-03-08,0,Knox,3664.0,0.03664,0.0
La salle,2020-03-08,0,,,,
Lamar,2020-03-08,0,Lamar,49859.0,0.49859,0.0
Lamb,2020-03-08,0,Lamb,12893.0,0.12893,0.0
Lampasas,2020-03-08,0,Lampasas,21428.0,0.21428,0.0
Lavaca,2020-03-08,0,Lavaca,20154.0,0.20154,0.0
Lee,2020-03-08,0,Lee,17239.0,0.17239,0.0
Leon,2020-03-08,0,Leon,17404.0,0.17404,0.0
Liberty,2020-03-08,0,Liberty,88219.0,0.88219,0.0
Limestone,2020-03-08,0,Limestone,23437.0,0.23437,0.0
Lipscomb,2020-03-08,0,Lipscomb,3233.0,0.03233,0.0
Live oak,2020-03-08,0,,,,
Llano,2020-03-08,0,Llano,21795.0,0.21795,0.0
Loving,2020-03-08,0,Loving,169.0,0.00169,0.0
Lubbock,2020-03-08,0,Lubbock,310569.0,3.10569,0.0
Lynn,2020-03-08,0,Lynn,5951.0,0.05951,0.0
