county,date,cases,name,population,rate
Jefferson,2020-03-04,0,Jefferson,251565,0.0
Jim Hogg,2020-03-04,0,Jim Hogg,5200,0.0
Jim Wells,2020-03-04,0,Jim Wells,40482,0.0
Johnson,2020-03-04,0,Johnson,175817,0.0
Jones,2020-03-04,0,Jones,20083,0.0
Karnes,2020-03-04,0,Karnes,15601,0.0
Kaufman,2020-03-04,0,Kaufman,136154,0.0
Kendall,2020-03-04,0,Kendall,47431,0.0
Kenedy,2020-03-04,0,Kenedy,404,0.0
Kent,2020-03-04,0,Kent,762,0.0
Kerr,2020-03-04,0,Kerr,52600,0.0
Kimble,2020-03-04,0,Kimble,4337,0.0
King,2020-03-04,0,King,272,0.0
Kinney,2020-03-04,0,Kinney,3667,0.0
Kleberg,2020-03-04,0,Kleberg,30680,0.0
Knox,2020-03-04,0,Knox,3664,0.0
Lamar,2020-03-04,0,Lamar,49859,0.0
Lamb,2020-03-04,0,Lamb,12893,0.0
Lampasas,2020-03-04,0,Lampasas,21428,0.0
La Salle,2020-03-04,0,La Salle,7520,0.0
Lavaca,2020-03-04,0,Lavaca,20154,0.0
Lee,2020-03-04,0,Lee,17239,0.0
Leon,2020-03-04,0,Leon,17404,0.0
Liberty,2020-03-04,0,Liberty,88219,0.0
Limestone,2020-03-04,0,Limestone,23437,0.0
Lipscomb,2020-03-04,0,Lipscomb,3233,0.0
Live Oak,2020-03-04,0,Live Oak,12207,0.0
Llano,2020-03-04,0,Llano,21795,0.0
Loving,2020-03-04,0,Loving,169,0.0
Lubbock,2020-03-04,0,Lubbock,310569,0.0
Lynn,2020-03-04,0,Lynn,5951,0.0
McCulloch,2020-03-04,0,McCulloch,7984,0.0
McLennan,2020-03-04,0,McLennan,256623,0.0
McMullen,2020-03-04,0,McMullen,743,0.0
Madison,2020-03-04,0,Madison,14284,0.0
Marion,2020-03-04,0,Marion,9854,0.0
Martin,2020-03-04,0,Martin,5771,0.0
Mason,2020-03-04,0,Mason,4274,0.0
Matagorda,2020-03-04,0,Matagorda,36643,0.0
Maverick,2020-03-04,0,Maverick,58722,0.0
Medina,2020-03-04,0,Medina,51584,0.0
Menard,2020-03-04,0,Menard,2138,0.0
Midland,2020-03-04,0,Midland,176832,0.0
Milam,2020-03-04,0,Milam,24823,0.0
Mills,2020-03-04,0,Mills,4873,0.0
Mitchell,2020-03-04,0,Mitchell,8545,0.0
Montague,2020-03-04,0,Montague,19818,0.0
Montgomery,2020-03-04,0,Montgomery,607391,0.0
Moore,2020-03-04,0,Moore,20940,0.0
Morris,2020-03-04,0,Morris,12388,0.0
Motley,2020-03-04,0,Motley,1200,0.0
Nacogdoches,2020-03-04,0,Nacogdoches,65204,0.0
Navarro,2020-03-04,0,Navarro,50113,0.0
Newton,2020-03-04,0,Newton,13595,0.0
Nolan,2020-03-04,0,Nolan,14714,0.0
Nueces,2020-03-04,0,Nueces,362294,0.0
Ochiltree,2020-03-04,0,Ochiltree,9836,0.0
Oldham,2020-03-04,0,Oldham,2112,0.0
Orange,2020-03-04,0,Orange,83396,0.0
Palo Pinto,2020-03-04,0,Palo Pinto,29189,0.0
Panola,2020-03-04,0,Panola,23194,0.0
Parker,2020-03-04,0,Parker,142878,0.0
Parmer,2020-03-04,0,Parmer,9605,0.0
Pecos,2020-03-04,0,Pecos,15823,0.0
Polk,2020-03-04,0,Polk,51353,0.0
Potter,2020-03-04,0,Potter,117415,0.0
Presidio,2020-03-04,0,Presidio,6704,0.0
Rains,2020-03-04,0,Rains,12514,0.0
Randall,2020-03-04,0,Randall,137713,0.0
Reagan,2020-03-04,0,Reagan,3849,0.0
Real,2020-03-04,0,Real,3452,0.0
Red River,2020-03-04,0,Red River,12023,0.0
Reeves,2020-03-04,0,Reeves,15976,0.0
Refugio,2020-03-04,0,Refugio,6948,0.0
Roberts,2020-03-04,0,Roberts,854,0.0
Robertson,2020-03-04,0,Robertson,17074,0.0
Rockwall,2020-03-04,0,Rockwall,104915,0.0
Runnels,2020-03-04,0,Runnels,10264,0.0
Rusk,2020-03-04,0,Rusk,54406,0.0
Sabine,2020-03-04,0,Sabine,10542,0.0
San Augustine,2020-03-04,0,San Augustine,8237,0.0
San Jacinto,2020-03-04,0,San Jacinto,28859,0.0
San Patricio,2020-03-04,0,San Patricio,66730,0.0
San Saba,2020-03-04,0,San Saba,6055,0.0
Schleicher,2020-03-04,0,Schleicher,2793,0.0
Scurry,2020-03-04,0,Scurry,16703,0.0
